timestamp,n,b,phase,seconds,extra
2026-05-23T13:39:34,-,-,spark_init,5.508870,defaultParallelism=32
2026-05-23T13:39:34,-,-,dataset_load,0.151696,"shape=(1000000, 128)"
2026-05-23T13:39:38,1000,-,broadcast_D,0.014279,
2026-05-23T13:39:38,1000,-,simhash,3.358643,
2026-05-23T13:39:38,1000,-,broadcast_sigs,0.005461,
2026-05-23T13:39:53,1000,4,banding_candidates,12.011548,pairs=8508
2026-05-23T13:39:53,1000,4,compute,3.203359,pairs=8508
2026-05-23T13:40:08,1000,8,banding_candidates,12.407279,pairs=133962
2026-05-23T13:40:08,1000,8,compute,3.175274,pairs=133962
2026-05-23T13:40:08,1000,-,total_n,34.184848,
2026-05-23T13:40:13,10000,-,broadcast_D,0.034494,
2026-05-23T13:40:13,10000,-,simhash,4.722596,
2026-05-23T13:40:13,10000,-,broadcast_sigs,0.007043,
2026-05-23T13:40:36,10000,4,banding_candidates,18.406080,pairs=549639
2026-05-23T13:40:36,10000,4,compute,4.880110,pairs=549639
2026-05-23T13:41:10,10000,8,banding_candidates,26.582076,pairs=4842328
2026-05-23T13:41:10,10000,8,compute,7.070738,pairs=4842328
2026-05-23T13:41:10,10000,-,total_n,61.808474,
2026-05-23T13:41:10,-,-,script_total,101.991869,
