timestamp,n,b,phase,seconds,extra
2026-05-23T13:37:29,-,-,spark_init,5.901284,defaultParallelism=32
2026-05-23T13:37:29,-,-,dataset_load,0.173294,"shape=(1000000, 128)"
2026-05-23T13:37:32,1000,-,broadcast_D,0.019988,
2026-05-23T13:37:32,1000,-,simhash,2.476544,
2026-05-23T13:37:32,1000,-,broadcast_sigs,0.006706,
2026-05-23T13:37:43,1000,4,banding_candidates,9.003726,pairs=8508
2026-05-23T13:37:43,1000,4,compute,2.275899,pairs=8508
2026-05-23T13:37:55,1000,8,banding_candidates,9.447647,pairs=133962
2026-05-23T13:37:55,1000,8,compute,2.517718,pairs=133962
2026-05-23T13:37:55,1000,-,total_n,25.757709,
2026-05-23T13:37:58,10000,-,broadcast_D,0.027311,
2026-05-23T13:37:58,10000,-,simhash,3.446824,
2026-05-23T13:37:58,10000,-,broadcast_sigs,0.010489,
2026-05-23T13:38:16,10000,4,banding_candidates,13.786499,pairs=549639
2026-05-23T13:38:16,10000,4,compute,3.826070,pairs=549639
2026-05-23T13:38:57,10000,8,banding_candidates,20.665163,pairs=4842328
2026-05-23T13:38:57,10000,8,compute,19.965947,pairs=4842328
2026-05-23T13:38:57,10000,-,total_n,61.877221,
2026-05-23T13:38:57,-,-,script_total,94.091837,
